"ОКУД
формы","ЦСОД/
СТАТЭК","Полное ведение (ПВ) /
Курирование",Краткое наименование,Отчетный период - за,"Дата получения каталога со статусом ""Итоговый"" в АС ГС ОФСН","Дата перевода каталога в ""Архивный"" статус","код отчётного
периода","ОКУД+Код
(формула)","Отчетная дата
(по бланку)","Период загрузки
отчетов (от)","Период загрузки
отчетов (до)","Рассылка 1
(дата)","Рассылка 2
(от)","Рассылка 2
(до)","Специалист отраслевого отдела
№ телефона, кабинет","Администратор БД от ОИРиТ
№ телефона, кабинет",Примечание
0606048,другое ПО,ПВ,Форма № 3П-образование,4 квартал 2025,не позднее 29.12.2025,,04042025,060604804042025,12.01.2026,29.12.2025,30.01.2026,29.12.2025,09.01.2026,11.01.2026,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606049,другое ПО,ПВ,Форма № 3П-соц,1 квартал 2025,не позднее 28.03.2025,,04012025,060604904012025,10.04.2025,31.03.2025,24.04.2025,31.03.2025,07.04.2025,09.04.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606049,другое ПО,ПВ,Форма № 3П-соц,2 квартал 2025,не позднее 30.06.2025,,04022025,060604904022025,10.07.2025,30.06.2025,24.07.2025,30.06.2025,07.07.2025,09.07.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606049,другое ПО,ПВ,Форма № 3П-соц,3 квартал 2025,не позднее 29.09.2025,,04032025,060604904032025,10.10.2025,29.09.2025,24.10.2025,29.09.2025,07.10.2025,09.10.2025,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606049,другое ПО,ПВ,Форма № 3П-соц,4 квартал 2025,не позднее 29.12.2025,,04042025,060604904042025,12.01.2026,29.12.2025,30.01.2026,29.12.2025,09.01.2026,11.01.2026,,"Фаттахова Гульшат Гадынановна, т. 318, к. 307",по наличию явления; 2 рассылки
0606065,Ц,ПВ,№ 1-Т(МС),2024,#N/A,#N/A,01012024,060606501012024,01.03.2025,05.02.2025,14.04.2025,05.02.2025,26.02.2025,28.02.2025,"Смагина Татьяна Игоревна, т. 3-40, к. 301",,
0606066,Ц,ПВ,№ 1-Т(ГС),2024,#N/A,#N/A,01012024,060606601012024,01.03.2025,05.02.2025,14.04.2025,05.02.2025,26.02.2025,28.02.2025,"Смагина Татьяна Игоревна, т. 3-40, к. 301",,
0607002,Ц,К,1-конъюнктура (опт),1 квартал 2025,"
не позднее 07.02.2025
",,04012025,060700204012025,10.03.2025,03.03.2025,18.03.2025,03.03.2025,05.03.2025,07.03.2025,"Камалова Наталья Вячеславовна, т. 622, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0607002,Ц,К,1-конъюнктура (опт),2 квартал 2025,не позднее 07.05.2025,,04022025,060700204022025,10.06.2025,02.06.2025,19.06.2025,02.06.2025,05.06.2025,06.06.2025,"Камалова Наталья Вячеславовна, т. 622, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0607002,Ц,К,1-конъюнктура (опт),3 квартал 2025,"
не позднее 08.08.2025",,04032025,060700204032025,10.09.2025,01.09.2025,16.09.2025,01.09.2025,03.09.2025,05.09.2025,"Камалова Наталья Вячеславовна, т. 622, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0607002,Ц,К,1-конъюнктура (опт),4 квартал 2025,"
не позднее 07.11.2025",,04042025,060700204042025,10.12.2025,01.12.2025,16.12.2025,01.12.2025,03.12.2025,05.12.2025,"Камалова Наталья Вячеславовна, т. 622, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0607017,Ц,К,№1-вывоз,1 квартал 2025,не позднее 28.03.2025,,04012025,060701704012025,14.04.2025,04.04.2025,22.05.2025,04.04.2025,09.04.2025,11.04.2025,"Осинцева Светлана Александровна, т. 2-24, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0607017,Ц,К,№1-вывоз,2 квартал 2025,"
не позднее 27.06.2025
",,04022025,060701704022025,14.07.2025,04.07.2025,15.08.2025,04.07.2025,09.07.2025,11.07.2025,"Осинцева Светлана Александровна, т. 2-24, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0607017,Ц,К,№1-вывоз,3 квартал 2025,"
не позднее 26.09.2025",,04032025,060701704032025,14.10.2025,06.10.2025,19.11.2025,06.10.2025,08.10.2025,10.10.2025,"Осинцева Светлана Александровна, т. 2-24, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0607017,Ц,К,№1-вывоз,4 квартал 2025,"
не позднее 26.12.2025",,04042025,060701704042025,19.01.2026,15.01.2026,25.02.2026,15.01.2026,16.01.2026,18.01.2026,"Осинцева Светлана Александровна, т. 2-24, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0607065,Ц,К,№2-кооператив,2024,не позднее 28.12.2024,с 14 по 25 января после отчетного периода,01012024,060706501012024,27.01.2025,09.01.2025,13.02.2025,09.01.2025,22.01.2025,24.01.2025,"Осинцева Светлана Александровна, т. 2-24, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0607080,Ц,К,14-МЕТ (лом),2024,не позднее 28.12.2024,с 20 января по 1 февраля после отчетного периода,01012024,060708001012024,03.02.2025,16.01.2025,07.02.2025,16.01.2025,29.01.2025,31.01.2025,"Бычкова Анна Александровна, т. 626, к. 300","Рублёва Наталья Адольфовна, т. 322, к. 307",
0608003,Ц,К,П-3,январь 2025,не позднее 31.01.2025,,12012025,060800312012025,28.02.2025,03.02.2025,10.03.2025,2/4/2025,25.02.2025,27.02.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,февраль 2025,не позднее 28.02.2025,,12022025,060800312022025,28.03.2025,03.03.2025,07.04.2025,3/3/2025,25.03.2025,27.03.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,март 2025,не позднее 28.03.2025,,12032025,060800312032025,28.04.2025,01.04.2025,14.05.2025,01.04.2025,23.04.2025,25.04.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,апрель 2025,не позднее 28.04.2025,,12042025,060800312042025,28.05.2025,05.05.2025,11.06.2025,05.05.2025,21.05.2025,23.05.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,май 2025,не позднее 30.05.2025,,12052025,060800312052025,30.06.2025,02.06.2025,09.07.2025,02.06.2025,25.06.2025,27.06.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,июнь 2025,не позднее 27.06.2025,,12062025,060800312062025,28.07.2025,01.07.2025,07.08.2025,01.07.2025,23.07.2025,25.07.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,июль 2025,не позднее 31.07.2025,,12072025,060800312072025,28.08.2025,01.08.2025,05.09.2025,01.08.2025,25.08.2025,27.08.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,август 2025,не позднее 29.08.2025,,12082025,060800312082025,29.09.2025,01.09.2025,06.10.2025,01.09.2025,24.09.2025,26.09.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,сентябрь 2025,не позднее 30.09.2025,,12092025,060800312092025,28.10.2025,01.10.2025,10.11.2025,01.10.2025,22.10.2025,24.10.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,октябрь 2025,не позднее 31.10.2025,,12102025,060800312102025,28.11.2025,01.11.2025,09.12.2025,01.11.2025,25.11.2025,27.11.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608003,Ц,К,П-3,ноябрь 2025,не позднее 28.11.2025,,12112025,060800312112025,29.12.2025,01.12.2025,14.01.2026,01.12.2025,24.12.2025,26.12.2025,"Лагунова Ирина Иосифовна, т. 2-86/701, к. 504",,
0608011,Ц,К,12-Ф,2024,#N/A,#N/A,01012024,060801101012024,01.04.2025,14.02.2025,30.05.2025,14.02.2025,26.03.2025,28.03.2025,"Поварова Анна Олеговна, т. 709, к. 504",,
0608012,Ц,К,1-СК,1 квартал 2025,не позднее 28.03.2025,,04012025,060801204012025,05.05.2025,15.04.2025,20.05.2025,15.04.2025,28.04.2025,30.04.2025,"Белоусова Элеонора Валерьевна, т. 715, к. 428",,
0608012,Ц,К,1-СК,2 квартал 2025,не позднее 30.06.2025,,04022025,060801204022025,04.08.2025,15.07.2025,11.08.2025,15.07.2025,30.07.2025,01.08.2025,"Белоусова Элеонора Валерьевна, т. 715, к. 428",,
0608012,Ц,К,1-СК,3 квартал 2025,не позднее 29.09.2025,,04032025,060801204032025,04.11.2025,15.10.2025,11.11.2025,15.10.2025,30.10.2025,01.11.2025,"Белоусова Элеонора Валерьевна, т. 715, к. 428",,
0608012,Ц,К,1-СК,4 квартал 2025,не позднее 29.12.2025,,04042025,060801204042025,,08.01.2026,15.04.2026,08.01.2026,,,"Белоусова Элеонора Валерьевна, т. 715, к. 428",,
0608014,Ц,ПВ,5-З,1 квартал 2025,не позднее 27.03.2025,,04012025,060801404012025,30.04.2025,01.04.2025,15.05.2025,01.04.2025,28.04.2025,29.04.2025,"Челпанова Надежда Юрьевна, т. 815, к. 436","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0608014,Ц,ПВ,5-З,2 квартал 2025,не позднее 27.06.2025,,02012025,060801402012025,7/30/2025,01.07.2025,15.08.2025,01.07.2025,28.07.2025,29.07.2025,"Челпанова Надежда Юрьевна, т. 815, к. 436","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0608014,Ц,ПВ,5-З,3 квартал 2025,не позднее 26.09.2025 ,,04032025,060801404032025,30.10.2025,01.10.2025,14.11.2025,01.10.2025,27.10.2025,29.10.2025,"Челпанова Надежда Юрьевна, т. 815, к. 436","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0608020,Ц,К,П-6,1 квартал 2025,не позднее 28.03.2025,,04012025,060802004012025,21.04.2025,01.04.2025,28.04.2025,01.04.2025,-,-,"Усынина Екатерина Валерьевна, т. 371-02-35 д.707, к. 525",,рассылка 1
0608020,Ц,К,П-6,2 квартал 2025,не позднее 27.06.2025,,04022025,060802004022025,21.07.2025,01.07.2025,29.07.2025,01.07.2025,-,-,"Усынина Екатерина Валерьевна, т. 371-02-35 д.707, к. 525",,рассылка 1
0608020,Ц,К,П-6,3 квартал 2025,не позднее 30.09.2025,,04032025,060802004032025,20.10.2025,01.10.2025,28.10.2025,01.10.2025,-,-,"Усынина Екатерина Валерьевна, т. 371-02-35 д.707, к. 525",,рассылка 1
0608026,Ц,К,№3-кооператив,2024,не позднее 20.12.2024,с 1-го рабочего дня по 25-е число после отчетного периода,01012024,060802601012024,25.01.2025,02.01.2025,12.02.2025,02.01.2025,22.01.2025,24.01.2025,"Антонова Надежда Андреевна, т. 2-86/IP 713, к. 504",,
0608028,С,ПВ,1-СОНКО,2024,#N/A,#N/A,01012024,060802801012024,4/1/2025,2/15/2025,14.05.2025,2/18/2025,3/26/2025,3/28/2025,"Белоусова Элеонора Валерьевна, т. 715, к. 428","Усова Яна Сергеевна, т. 321, к. 307",
0608034,Ц,К,1-СОНКО(Р),2024,#N/A,#N/A,01012024,060803401012024,01.04.2025,17.02.2025,15.05.2025,-,-,-,"Рудакова Анастасия Валерьевна, т. 723, к. 525",,нет рассылок
0608035,Ц,К,ДАФЛ,2024,не позднее 28.12.2024,"с 1-го рабочего дня января 
по 10 февраля после отчетного периода
",01012024,060803501012024,10.02.2025,09.01.2025,21.02.2025,09.01.2025,05.02.2025,07.02.2025,"Страхова Людмила Евгеньевна, т. 710, к. 432","Фаттахова Гульшат Гадынановна, т. 318, к. 307",
0608038,Ц,К,1-приватизация (жилье),2024,не позднее 28.12.2024,с 1-го рабочего дня января по 20 января,01012024,060803801012024,20.01.2025,09.01.2025,13.02.2025,09.01.2025,15.01.2025,17.01.2025,"Леонова Екатерина Юрьевна, т. 825, к. 203","Усова Яна Сергеевна, т. 321, к. 307",по наличию явления; 2 рассылки
0609006,Ц,К,1-ООПТ,2024,не позднее 28.12.2024,"с 1-го рабочего дня по 25 января
после отчетного периода
",01012024,060900601012024,27.01.2025,09.01.2025,27.01.2025,09.01.2025,22.01.2025,24.01.2025,"Кузнецова Екатерина Александровна, т. 2-30, 860, к. 519","Усова Яна Сергеевна, т. 321, к. 307",по наличию явления; 2 рассылки
0609017,Ц,К,2-ТП (охота),2024,#N/A,#N/A,01012024,060901701012024,21.03.2025,04.02.2025,21.03.2025,04.02.2025,18.03.2025,20.03.2025,"Кузнецова Екатерина Александровна, т. 860, к. 519","Усова Яна Сергеевна, т. 321, к. 307",
0609030,Ц,К,4-ОС,2024,не позднее 28.12.2024,с 1-го рабочего дня по 25 января после отчетного периода,01012024,060903001012024,25.01.2025,09.01.2025,3/14/2025,09.01.2025,22.01.2025,24.01.2025,"Тотикиди Евгения Владмировна, т. 2-30, к. 519","Усова Яна Сергеевна, т. 321, к. 307",по наличию явления; 2 рассылки
